Name,Model,Key,IV
Darwin11-ru,DARWIN11,68954E31C8EA505B646641AF2015B63C,C00286616C61DB326065BE988D1C1F90
Darwin7,MC_DARWIN7,9272F672593B96AE388849C30EC9272F,7EEF6EF4C34231E4E16A4C688DBF7C4B
FLOW,FLOW,42F6E69DB0A176DC5FBA04DE2C4C0C7D,9C0F30369B5539A1E0696598638D4731
FLOWPro,FLOWPro,714C5E4655170DA6774E7E1DFCF78D9E,08A0369CAE896E52AF8694A2EF39C1EE
FLOWProMax,FLOW.Pro Max,6D0D6E2DBDF3D5D6C71B84E170E1E33A,11DFA3EAC57A65E2F9731DA5F278013C
GALILEO,GALILEO,F303E7819D87666785B5CEE6C172201D,103040EE4F225D67A607B25337E787B9
Galileo2-ru,GALILEO2,B510E6FBDCF05596BED85DF4EEA293CB,B5A3B196ABE1310018A45FED291B856A
Go103,Go103,7BDBEE7DB0CB42F3334C40FA67491C72,951CB9A08616E7E230386931AB090AEF
Go6,Go6,09743FA75F5B9899787665A8806085A3,D294C0832EACF2EEEE0E944AB5928784
GoColor7,GoColor7,73AA85E6BAF08452FC583DA8A533642A,4F573D5A9AE3857F8D220C7CF6BE32A8
Gulliver-ru,MC_GULLIVER,0CBE6C03F589353182354085D8E20F31,7E34FC7B6E6FD0A39C0E43CBAF32FB52
KANT,KANT,13BC5939158355469CE617D7733DF4CB,35EB192AF12EF49206C8D747A49F0EAC
KonTiki-ru,KON_TIKI,071C5480AFAF91DD0EEA6EA1F4FC8951,7BCF8715C94BDD5FB684E0F66B9F57B5
KonTiki2-ru,Kon_Tiki2,98AC5EB0D8D7A0A0B2E75B278DB8B288,745555DF150183D4C92AFBC4EDE58ED2
Leaf,Leaf,2FA5F9484C5079FA25B89FD6A926F0FD,0CB5EBC30E284C71108ACC344026DFD6
Leaf2,Leaf2,4131D58DC6CB5D85BFD23D9F576CAB16,A60D8B8DEE2A494194F1AC6C80E850AC
Leaf2-cn,Leaf2_P,E95EE8726EC4B63A2241F38829C27FCC,8093A741A8A4C45E11690B72D78C59A1
Leaf3,Leaf3,6ABE99B43B928F351C83CDD5A2516A6E,1009E8860F53BB40483A83173F844198
Leaf3C,Leaf3C,59A002BBBF0C9AF21FE068AAB8712E39,ADCD327395970FD0B8AA0159AB057341
Leaf5,Leaf5,648C324326F16772931171609F1EC0F6,DFA378E2340EF490F5EB6C8EDBDB97B5
Livingstone-ru,LIVINGSTONE,CDA476FB48B341F03C3217EBDFCA1BFA,B642BDF244FCC321E1A62BBE0EE4C15A
Livingstone2-ru,LIVINGSTONE2,5517687D3994A7EB439DA99F87134B88,509E86C0948605D593A44D70143529C6
Livingstone3-ru,LIVINGSTONE3,80E2F29AA083CBFBB065DFBA1922F1CC,1D8FBDAE2AB78E1DD0D6008036DE5667
Lomonosov-ru,Lomonosov,D2F7E3354FC07C2521BF609D01FBC90F,0070D3F87818CF23DB5EE9798B8B0657
Max2,Max2,7B71BD797D7E3721D69F4449E12B4C22,38B2BB851DAF20E1BE6E7E3F349CABA0
Max2Pro,Max2Pro,8BEAEE4D037DAC8E2DB18458CDFA4A53,706038B3497224CCC2B81572EACAA780
Max3,Max3,0C3FF83E57334391A2D4171E99EAC1A9,982877D54100A07BBF205F31193B2D3D
MaxLumi,MaxLumi,3205089AF7E08108730ABFC237D94BE8,09FE14E89ABE38654112885A43352D30
MaxLumi2,MaxLumi2,25F86689E5FE3DEB2856983CCF21FB6D,14E98D0F357F7087D27D22406D7291E0
Note,Note,1D7A5202269D384B72F348CE25D55120,A0828A338A06FF2CD3618B219D3E30E2
